Year,Lg,Name,Tm,WAR,BA,OBP,SLG,HR,RBI,SB
2024,AL,Aaron Judge,NYY,10.8,0.322,0.458,0.701,58,144,10
2024,NL,Shohei Ohtani,LAD,9.2,0.31,0.39,0.646,54,130,59
2023,AL,Shohei Ohtani,LAA,10,0.304,0.412,0.654,44,95,20
2023,NL,Ronald Acuña Jr.,ATL,8.4,0.337,0.416,0.596,41,106,73
2022,AL,Aaron Judge,NYY,10.8,0.311,0.425,0.686,62,131,16
2022,NL,Paul Goldschmidt,STL,7.7,0.317,0.404,0.578,35,115,7
2021,AL,Shohei Ohtani,LAA,9,0.257,0.372,0.592,46,100,26
2021,NL,Bryce Harper,PHI,5.9,0.309,0.429,0.615,35,84,13
2020,AL,José Abreu,CHW,2.7,0.317,0.37,0.617,19,60,0
2020,NL,Freddie Freeman,ATL,3.3,0.341,0.462,0.64,13,53,2
2019,AL,Mike Trout,LAA,7.9,0.291,0.438,0.645,45,104,11
2019,NL,Cody Bellinger,LAD,8.7,0.305,0.406,0.629,47,115,15
2018,AL,Mookie Betts,BOS,10.7,0.346,0.438,0.64,32,80,30
2018,NL,Christian Yelich,MIL,7.3,0.326,0.402,0.598,36,110,22
2017,AL,Jose Altuve,HOU,8.1,0.346,0.41,0.547,24,81,32
2017,NL,Giancarlo Stanton,MIA,8.1,0.281,0.376,0.631,59,132,2
2016,AL,Mike Trout,LAA,10.4,0.315,0.441,0.55,29,100,30
2016,NL,Kris Bryant,CHC,7.3,0.292,0.385,0.554,39,102,8
2015,AL,Josh Donaldson,TOR,7.4,0.297,0.371,0.568,41,123,6
2015,NL,Bryce Harper,WSN,9.7,0.33,0.46,0.649,42,99,6
2014,AL,Mike Trout,LAA,7.7,0.287,0.377,0.561,36,111,16
2014,NL,Clayton Kershaw,LAD,8.2,0.175,0.235,0.206,0,3,1
2013,AL,Miguel Cabrera,DET,7.5,0.348,0.442,0.636,44,137,3
2013,NL,Andrew McCutchen,PIT,7.8,0.317,0.404,0.508,21,84,27
2012,AL,Miguel Cabrera,DET,7.1,0.33,0.393,0.606,44,139,4
2012,NL,Buster Posey,SFG,7.6,0.336,0.408,0.549,24,103,1
2011,AL,Justin Verlander,DET,8.6,0,0,0,0,0,0
2011,NL,Ryan Braun,MIL,7.7,0.332,0.397,0.597,33,111,33
2010,AL,Josh Hamilton,TEX,8.7,0.359,0.411,0.633,32,100,8
2010,NL,Joey Votto,CIN,7,0.324,0.424,0.6,37,113,16
2009,AL,Joe Mauer,MIN,7.8,0.365,0.444,0.587,28,96,4
2009,NL,Albert Pujols,STL,9.7,0.327,0.443,0.658,47,135,16
2008,AL,Dustin Pedroia,BOS,7,0.326,0.376,0.493,17,83,20
2008,NL,Albert Pujols,STL,9.2,0.357,0.462,0.653,37,116,7
2007,AL,Alex Rodriguez,NYY,9.4,0.314,0.422,0.645,54,156,24
2007,NL,Jimmy Rollins,PHI,6.1,0.296,0.344,0.531,30,94,41
2006,AL,Justin Morneau,MIN,4.3,0.321,0.375,0.559,34,130,3
2006,NL,Ryan Howard,PHI,5.2,0.313,0.425,0.659,58,149,0
2005,AL,Alex Rodriguez,NYY,9.4,0.321,0.421,0.61,48,130,21
2005,NL,Albert Pujols,STL,8.4,0.33,0.43,0.609,41,117,16
2004,AL,Vladimir Guerrero,ANA,5.6,0.337,0.391,0.598,39,126,15
2004,NL,Barry Bonds,SFG,10.6,0.362,0.609,0.812,45,101,6
2003,AL,Alex Rodriguez,TEX,8.4,0.298,0.396,0.6,47,118,17
2003,NL,Barry Bonds,SFG,9.2,0.341,0.529,0.749,45,90,7
2002,AL,Miguel Tejada,OAK,5.7,0.308,0.354,0.508,34,131,7
2002,NL,Barry Bonds,SFG,11.7,0.37,0.582,0.799,46,110,9
2001,AL,Ichiro Suzuki,SEA,7.7,0.35,0.381,0.457,8,69,56
2001,NL,Barry Bonds,SFG,11.9,0.328,0.515,0.863,73,137,13
2000,AL,Jason Giambi,OAK,7.8,0.333,0.476,0.647,43,137,2
2000,NL,Jeff Kent,SFG,7.2,0.334,0.424,0.596,33,125,12
1999,AL,Iván Rodríguez,TEX,6.4,0.332,0.356,0.558,35,113,25
1999,NL,Chipper Jones,ATL,6.9,0.319,0.441,0.633,45,110,25
1998,AL,Juan González,TEX,4.9,0.318,0.366,0.63,45,157,2
1998,NL,Sammy Sosa,CHC,6.5,0.308,0.377,0.647,66,158,18
1997,AL,Ken Griffey Jr.,SEA,9.1,0.304,0.382,0.646,56,147,15
1997,NL,Larry Walker,COL,9.8,0.366,0.452,0.72,49,130,33
1996,AL,Juan González,TEX,3.8,0.314,0.368,0.643,47,144,2
1996,NL,Ken Caminiti,SDP,7.6,0.326,0.408,0.621,40,130,11
1995,AL,Mo Vaughn,BOS,4.3,0.3,0.388,0.575,39,126,11
1995,NL,Barry Larkin,CIN,5.9,0.319,0.394,0.492,15,66,51
1994,AL,Frank Thomas,CHW,6.4,0.353,0.487,0.729,38,101,2
1994,NL,Jeff Bagwell,HOU,8.2,0.368,0.451,0.75,39,116,15
1993,AL,Frank Thomas,CHW,6.2,0.317,0.426,0.607,41,128,4
1993,NL,Barry Bonds,SFG,9.9,0.336,0.458,0.677,46,123,29
1992,AL,Dennis Eckersley,OAK,2.9,0.311,0.456,0.624,34,103,39
1992,NL,Barry Bonds,PIT,9,0.323,0.374,0.566,34,114,6
1991,AL,Cal Ripken Jr.,BAL,11.5,0.319,0.363,0.517,22,86,10
1991,NL,Terry Pendleton,ATL,6.1,0.325,0.439,0.577,28,61,65
1990,AL,Rickey Henderson,OAK,9.9,0.301,0.406,0.565,33,114,52
1990,NL,Barry Bonds,PIT,9.7,0.318,0.384,0.511,21,103,19
1989,AL,Robin Yount,MIL,5.8,0.291,0.388,0.635,47,125,3
1989,NL,Kevin Mitchell,SFG,6.9,0.307,0.391,0.569,42,124,40
1988,AL,José Canseco,OAK,7.3,0.29,0.377,0.483,25,76,31
1988,NL,Kirk Gibson,LAD,6.5,0.308,0.352,0.605,47,134,5
1987,AL,George Bell,TOR,5,0.287,0.328,0.568,49,137,11
1987,NL,Andre Dawson,CHC,4,0.29,0.39,0.547,37,119,1
1986,AL,Roger Clemens,BOS,8.8,0.324,0.371,0.567,35,145,2
1986,NL,Mike Schmidt,PHI,6.1,0.353,0.384,0.503,10,82,56
1985,AL,Don Mattingly,NYY,6.5,0.314,0.367,0.52,19,84,32
1985,NL,Willie McGee,STL,8.2,0.318,0.371,0.517,27,102,0
1984,AL,Willie Hernández,DET,4.8,0.302,0.393,0.54,36,121,30
